text,label
EMERGENCY — a customer paying two thousand a month has the app crash on launch every time. Please fix this immediately!!!,Yes
"Hi team, a paid workspace gets a maintenance page on every route. No rush on our side.",Yes
TOP PRIORITY!!! a fully onboarded paying team says the invoice PDF has the address on the wrong line. I want an answer within the hour.,No
ASAP!!! a user on the community tier requests an extra filter in the reporting view. I want an answer within the hour.,No
Morning — a paid account holder cannot use the product in any way. Let us know when you can.,Yes
PLEASE HELP URGENTLY — a trial workspace would like email digests weekly instead of daily. Please fix this immediately!!!,No
"Hello, our long-standing paid client notes the dark theme contrast is low but still readable. Happy to give more detail.",No
Quick note: a customer whose invoice cleared last week has their entire tenant offline.,Yes
ASAP!!! a Business-plan organisation cannot reach any of their data.,Yes
CRITICAL: a user on the community tier reports the footer year is out of date. Escalate to your manager please!!!,No
An account with zero paid seats cannot open any project. Thanks.,No
Quick note: our largest paying client cannot use the product in any way. Happy to give more detail.,Yes
Morning — a customer paying two thousand a month has every integration call returning an error. Thanks.,Yes
MAJOR INCIDENT!!! our enterprise tenant asks for a larger font in the sidebar. We need this resolved NOW.,No
"Hello, an account that never entered billing sees a blank page everywhere in the product. Please advise.",No
Our long-standing paid client cannot use the product in any way.,Yes
EMERGENCY — a customer paying two thousand a month has their whole workspace returning 403. Please fix this immediately!!!,Yes
Morning — the client who renewed last month has the app crash on launch every time. No rush on our side.,Yes
EMERGENCY — a customer billed monthly says the export takes eight seconds but does finish. We need this resolved NOW.,No
ASAP!!! a free workspace has their dashboard permanently empty.,No
"Hello, a trial account reports a small rounding difference they can work around. Please advise.",No
BLOCKER!!! the client who renewed last month has every integration call returning an error. Escalate to your manager please!!!,Yes
PLEASE HELP URGENTLY — someone on our free-forever plan cannot use the product in any way. I want an answer within the hour.,No
FYI: our long-standing paid client cannot access any feature whatsoever.,Yes
SEV1: a Pro-plan subscriber gets a maintenance page on every route. I want an answer within the hour.,Yes
TOP PRIORITY!!! a customer whose invoice cleared last week gets an error on every click. This cannot wait!!!,Yes
"Hi team, an enterprise customer cannot load the workspace at all. Please advise.",Yes
TOP PRIORITY!!! an enterprise customer cannot access any feature whatsoever. We need this resolved NOW.,Yes
THIS IS A DISASTER — a prospect on the free plan has all exports failing at the first row. We need this resolved NOW.,No
Morning — a customer with two hundred paid seats has their dashboard permanently empty.,Yes
FYI: a customer billed monthly cannot upload any file. Let us know when you can.,Yes
A user whose trial has not converted says sync takes two minutes instead of one but finishes correctly.,No
THIS IS A DISASTER — an unlicensed account cannot perform a single action. Please fix this immediately!!!,No
Morning — an evaluation account requests an extra filter in the reporting view. Thanks.,No
PLEASE HELP URGENTLY — a paid account holder asks for a larger font in the sidebar. Escalate to your manager please!!!,No
MAJOR INCIDENT!!! a trial org wants to schedule a call about our roadmap. I want an answer within the hour.,No
A Business-plan organisation sees a 502 on every single page. Please advise.,Yes
FYI: a Business-plan organisation notes the dark theme contrast is low but still readable. Thanks.,No
FYI: an account with an active subscription has every write rejected by the server.,Yes
"Hi team, a revenue-generating account is completely locked out. Happy to give more detail.",Yes
Quick note: a free-tier developer cannot open any project. Happy to give more detail.,No
"Hi team, an evaluation account found a typo in the welcome email.",No
A customer with two hundred paid seats says the button colour does not match their brand.,No
"Hello, a customer on the Business tier has their whole workspace returning 403. No rush on our side.",Yes
"Hi team, a trial account gets an error on every click. Thanks.",No
CRITICAL: a customer billed monthly has all their jobs failing immediately. I want an answer within the hour.,Yes
Morning — a free workspace asks for a larger font in the sidebar. Happy to give more detail.,No
A team on an annual contract cannot load the workspace at all.,Yes
ESCALATE NOW: a revenue-generating account has all their data unreachable. We need this resolved NOW.,Yes
URGENT!!! a paid workspace cannot use the product in any way. Please fix this immediately!!!,Yes
THIS IS A DISASTER — a customer on the Business tier has the app crash on launch every time.,Yes
"Hi team, a Business-plan organisation gets a 500 error on every request. Thanks.",Yes
Morning — a customer with two hundred paid seats says sync takes two minutes instead of one but finishes correctly. Happy to give more detail.,No
HIGHEST PRIORITY! an account on our highest paid tier says report generation is slow on huge datasets but completes. I want an answer within the hour.,No
ASAP!!! a Pro-plan subscriber wants to schedule a call about our roadmap. This cannot wait!!!,No
A prospect on the free plan cannot save anything at all. Thanks.,No
"Hello, a paying customer wants to schedule a call about our roadmap. No rush on our side.",No
THIS IS A DISASTER — a customer billed monthly asks how the billing cycle works. This cannot wait!!!,No
EMERGENCY — a paid workspace is stuck on an infinite loading spinner.,Yes
CRITICAL: a customer billed monthly has every integration call returning an error. Escalate to your manager please!!!,Yes
HIGHEST PRIORITY! a paid workspace has all their data unreachable. We need this resolved NOW.,Yes
PLEASE HELP URGENTLY — a customer on the Business tier sees a blank page everywhere in the product. This cannot wait!!!,Yes
Quick note: a customer paying two thousand a month cannot log in at all. Thanks.,Yes
FYI: one of our contracted accounts spotted an extra space in the page title. Please advise.,No
Morning — a paid account holder says report generation is slow on huge datasets but completes. Thanks.,No
ASAP!!! a trial account has the app crash on launch every time.,No
Quick note: an account with an active subscription has the app crash on launch every time. Thanks.,Yes
PLEASE HELP URGENTLY — a sandbox account prefers the spinner to rotate the other way. Escalate to your manager please!!!,No
Quick note: a customer paying two thousand a month cannot authenticate through any method. Let us know when you can.,Yes
CRITICAL: an account on our highest paid tier cannot reach the API at all. Escalate to your manager please!!!,Yes
EMERGENCY — a non-paying user found a broken anchor link in the FAQ.,No
A free-plan customer has all their jobs failing immediately. No rush on our side.,No
HIGHEST PRIORITY! one of our contracted accounts has every API call fail. Escalate to your manager please!!!,Yes
CRITICAL: a customer with two hundred paid seats is stuck on an infinite loading spinner. Escalate to your manager please!!!,Yes
ESCALATE NOW: a customer paying two thousand a month says the invoice PDF has the address on the wrong line. Escalate to your manager please!!!,No
